SCATS Number,Date,hour,hour_sin,hour_cos,day_sin,day_cos,is_weekend,lat_scaled,lon_scaled,traffic_volume
0970,2006-10-01,0,0.0,1.0,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,885
0970,2006-10-01,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,539
0970,2006-10-01,2,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,312
0970,2006-10-01,3,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,260
0970,2006-10-01,4,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,218
0970,2006-10-01,5,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,243
0970,2006-10-01,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,495
0970,2006-10-01,7,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,712
0970,2006-10-01,8,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,1129
0970,2006-10-01,9,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,2076
0970,2006-10-01,10,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,2883
0970,2006-10-01,11,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,3383
0970,2006-10-01,12,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,3755
0970,2006-10-01,13,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,3503
0970,2006-10-01,14,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,3421
0970,2006-10-01,15,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,1,-2.3129838794115534,1.3891761145954393,3236
