SCATS Number,lat_scaled,lon_scaled
0970,-2.3129838794115534,1.3891761145954393
2000,-1.5250558647535297,1.5047921964938857
2200,0.28772945113291676,1.6576350619464946
2820,1.4023007512831034,-1.1168635490621739
2825,1.8211300249883569,0.1786950206584751
2827,2.0706690185915506,0.807237970101845
2846,-2.0056771858003364,0.008519543765274697
3001,0.38934016535713445,-1.4552577551156627
3002,0.3583015433405353,-1.2764479578000596
3120,-0.0378571549990997,-0.015577188821516855
3122,-0.0871261643626514,0.2761219008489096
3126,-0.2915455896940438,1.6793700137013319
3127,-0.1573152903537153,0.8324950677783937
3180,1.3291230372026028,1.0607366915945613
3662,0.6764580925405426,-1.2401181309879772
3682,-0.7848334009470417,1.609207608058905
3685,-1.6773965809760325,1.48780030546236
3804,-0.5884831634576619,0.19398638844132848
3812,-0.7856018950272968,0.13128151786996836
4030,1.3743787997026802,0.16172741792955206
4032,1.0174132994529987,0.14626500576419074
4034,0.5280106527166447,0.07134756629191219
4035,0.20491780987478442,0.018703184201503145
4040,-0.5489911065588617,-0.092102445487873
4043,-1.2810244120585894,-0.2068732260490203
4051,1.4351752202692112,0.47891212057091476
4057,0.8802371061385406,0.9892401397695252
4063,0.39877556489739896,0.9169909926622708
4262,0.03105114752475077,-1.7502751058043713
4263,-0.046114623890806165,-1.342724235075631
4264,-0.10100175192167289,-0.9713389885532007
4266,-0.16081620783020106,-0.5836155826270383
4270,-0.4135226778670513,-1.0201892641539576
4272,-0.49835588549717963,-0.4627898309305925
4273,-1.2518216370111652,-0.5433859438968659
4321,1.0921916159262188,-0.35089841150201717
4324,0.6569981146653515,-0.8546456691339706
4335,0.8167082621757488,-0.920230927104622
4812,-0.34619405761901817,-1.7274235763216854
4821,0.47088592608891894,-2.0195673813863797
